name,create_dttm,pid,gender,age,short_nm,education_level_code,speciality,semester_cnt,subcide_rate,semester_cost_amt,initial_approved_amt,initial_term,utm_source,marketing_flg,approve_dttm,approve_flg,reject_reason,util_dttm,util_flg,score
Наталья Леонидовна Якушева,2024-06-04,0909a90a-7a2e-4d74-ae00-a2f56480541,F,16,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Химия,2,5.0,310000,1240000.0,8,social_media,1,,0,,2024-09-13,1,0.64
Муравьев Вениамин Ильич,2024-05-28,ef5897c7-34c9-4a93-bf0b-f0ee576329c9,M,20,Казанский федеральный университет (КФУ),MASTER,Физика,1,3.5,155000,310000.0,4,social_media,0,,0,,2024-06-01,1,0.68
Кондратьев Кузьма Брониславович,2024-05-13,06070732-01cb-4257-a893-eed310e6443d,M,21,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),MASTER,Автоматизация и управление,2,4.0,320000,1024000.0,4,social_media,0,2024-09-10,1,,2024-08-30,1,0.56
Панкратий Ефремович Силин,2024-05-15,cd24a8b1-bf8e-4d53-8838-6627ffb37c38,M,17,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),SPECIALTY,Информатика и вычислительная техника,2,4.0,450000,0.0,8,website,0,,0,Плохая КИ,,0,0.82
Светозар Ильясович Кондратьев,2024-05-08,762da431-5255-41fb-907c-c873822878a3,M,16,Сибирский федеральный университет (СФУ),BACHELOR,Химия,3,3.0,150000,960000.0,8,bank,0,2024-07-16,1,,2024-06-13,1,0.66
Шестакова Тамара Андреевна,2024-05-07,3df92870-3452-406b-bf57-ca29e40192ea,F,21,Российский государственный университет нефти и газа имени И.М. Губкина,MASTER,Автоматизация и управление,1,4.0,280000,560000.0,4,website,0,2024-08-08,1,,2024-06-07,1,0.61
Светлана Рудольфовна Рогова,2024-05-05,76522a2c-43ae-4c88-aae0-f0ce50905003,F,18,Казанский федеральный университет (КФУ),SPECIALTY,Инженерия программного обеспечения,5,3.4,200000,2000000.0,10,bank,0,2024-08-06,1,,2024-07-19,1,0.69
Аверьян Елизарович Орехов,2024-05-24,a77652c2-a100-422d-bc6f-584f4c81332f,M,23,Пермский государственный национальный исследовательский университет (ПГНИУ),MASTER,Информатика и вычислительная техника,2,3.6,300000,900000.0,4,website,0,2024-06-20,1,,2024-06-18,1,0.55
Селезнев Роман Жоресович,2024-05-05,a40a11a5-a8ee-446f-8230-2896ee6d217b,M,24,Московский физико-технический институт (МФТИ),MASTER,Прикладная математика,1,4.0,300000,600000.0,4,website,0,2024-06-29,1,,2024-06-15,1,0.58
Пестова Раиса Дмитриевна,2024-07-21,d6ec9359-1d38-4ad9-8279-3eae18fe6426,F,15,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Физика,2,4.8,315000,1417500.0,6,website,0,,0,,2024-08-18,1,0.64
Кондратьев Самуил Ярославович,2024-05-24,56ecf578-c3be-4317-9806-2f79cf0bbf64,M,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Информатика и вычислительная техника,3,3.8,350000,1890000.0,6,website,0,2024-08-21,1,,2024-06-14,1,0.66
Самойлов Фадей Бориславович,2024-06-20,30e9c516-f401-4525-aa24-1d85cfba24aa,M,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Информатика и вычислительная техника,2,3.3,400000,1200000.0,6,social_media,0,,0,,2024-07-01,1,0.52
Горбунов Назар Ильич,2024-06-14,a3fb7cbf-858a-49e1-ac6a-61169c4e237f,M,16,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Механика,4,4.7,245000,1960000.0,8,website,0,2024-08-19,1,,2024-07-02,1,0.53
Рябова Ангелина Степановна,2024-07-13,f0851dea-f7ff-41e4-b74f-141fc3f8deb,F,17,Казанский федеральный университет (КФУ),BACHELOR,Инженерия программного обеспечения,1,4.9,250000,375000.0,2,bank,1,2024-09-08,1,,2024-08-19,1,0.6
Копылов Анисим Ефстафьевич,2024-07-19,203e024a-cd25-4a30-85d7-d6eb183cced7,M,17,Пермский государственный национальный исследовательский университет (ПГНИУ),BACHELOR,Физика,1,3.2,115000,0.0,2,website,0,,0,Некорректные данные,,0,0.8
Мартьян Захарьевич Цветков,2024-05-07,cdc639f3-2b01-4197-8ea9-67ec3dcd565e,M,19,Новосибирский государственный университет (НГУ),BACHELOR,Прикладная математика,2,4.0,310000,1240000.0,8,social_media,0,,0,,2024-06-02,1,0.53
Лонгин Брониславович Большаков,2024-05-11,a2554817-8b23-4b99-bfa9-e357bad02cca,M,17,Московский физико-технический институт (МФТИ),SPECIALTY,Физика,4,4.0,165000,1188000.0,12,bank,0,2024-09-14,1,,2024-05-18,1,0.51
Александра Кузьминична Крылова,2024-05-27,347cf268-7f34-4257-8499-b5c373e6cecb,F,15,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Автоматизация и управление,2,4.0,270000,1080000.0,4,social_media,0,2024-08-30,1,,2024-08-22,1,0.53
Авдеева Надежда Максимовна,2024-07-25,54d9a77f-882f-49bb-9ab1-9dd3a383f189,F,23,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),MASTER,Физика,1,3.4,315000,0.0,4,bank,0,,0,Заявитель найден в ЧС,,0,0.9
Суханова Полина Архиповна,2024-06-26,f4b34050-b5a1-4724-ba23-0bdd3392449a,F,18,Сибирский федеральный университет (СФУ),SPECIALTY,Информатика и вычислительная техника,2,3.1,190000,570000.0,4,bank,0,,0,,2024-08-24,1,0.57
Лапин Назар Харламович,2024-06-11,ec1c9350-3bb3-40a9-b802-fbdf7838790,M,16,Казанский федеральный университет (КФУ),BACHELOR,Физика,2,4.1,205000,0.0,6,social_media,1,,0,Недостаток документов,,0,0.83
Медведев Михаил Федосеевич,2024-05-12,cf238a2d-801c-4534-8a8e-66cf3bdedc8,M,22,Новосибирский государственный университет (НГУ),MASTER,Прикладная математика,2,3.1,310000,0.0,4,bank,1,,0,Плохая КИ,,0,0.88
Борис Давыдович Николаев,2024-05-11,118ee24e-e26d-447c-8552-574f283644c5,M,19,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Прикладная математика,3,3.5,350000,2100000.0,8,social_media,0,2024-09-03,1,,2024-08-28,1,0.66
Пахом Ильясович Кононов,2024-06-16,ee0e2060-a7f0-44a4-9af3-377cb6dd5608,M,18,Санкт-Петербургский государственный университет (СПбГУ),SPECIALTY,Физика,3,3.1,315000,2016000.0,8,website,0,2024-07-29,1,,2024-07-13,1,0.64
Геннадий Тимурович Тарасов,2024-05-06,aa32d528-5e2e-420d-b7f6-faa06cfa7ceb,M,18,Казанский федеральный университет (КФУ),BACHELOR,Электроника и наноэлектроника,1,3.9,180000,360000.0,4,bank,0,2024-07-22,1,,2024-06-24,1,0.57
Бобров Евдоким Иосипович,2024-06-21,5f2a8115-2a1e-481a-a422-6190d0bfd7ff,M,22,Московский государственный университет имени М.В. Ломоносова (МГУ),MASTER,Биотехнология,2,3.6,275000,0.0,4,bank,0,,0,Заявитель найден в ЧС,,0,0.82
Ширяев Сидор Бенедиктович,2024-05-21,716cdf3f-5529-4ffa-b822-dcf7d7e94fdc,M,16,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),BACHELOR,Электроника и наноэлектроника,0,3.4,210000,210000.0,2,bank,0,,0,,2024-08-20,1,0.56
Давыдов Савелий Фомич,2024-07-31,e6bb93b0-f385-4023-a5e7-63c4a1cfdad,M,15,Российский государственный университет нефти и газа имени И.М. Губкина,BACHELOR,Автоматизация и управление,4,4.3,230000,1656000.0,8,social_media,1,2024-09-12,1,,2024-08-04,1,0.49
Новикова Фёкла Алексеевна,2024-06-07,ab99d514-615d-4d03-b8f8-e43060b3910e,F,18,Российский государственный университет нефти и газа имени И.М. Губкина,SPECIALTY,Прикладная математика,2,4.2,260000,1248000.0,6,social_media,0,2024-09-10,1,,2024-08-01,1,0.53
Алина Юльевна Колесникова,2024-05-15,210ad1d2-dbe7-48b2-b30e-d2c627dd1f9,F,17,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Информатика и вычислительная техника,2,4.0,500000,1800000.0,6,bank,1,2024-07-31,1,,2024-06-25,1,0.68
Сергеева Синклитикия Оскаровна,2024-05-06,1aeac7dd-f59a-4edb-98a7-a5ba74daa9d,F,19,Красноярский государственный университет (КГУ),BACHELOR,Автоматизация и управление,1,4.0,130000,312000.0,4,website,1,2024-08-30,1,,2024-07-09,1,0.54
Гришин Любим Денисович,2024-08-04,ba9ceea1-b62a-4703-a122-cc4454943eb6,M,18,Сибирский федеральный университет (СФУ),BACHELOR,Информатика и вычислительная техника,1,4.0,290000,580000.0,2,bank,0,,0,,2024-09-03,1,0.68
Исаков Зосима Виленович,2024-06-07,6c129f5a-02ee-4000-b742-fde89d57a5b,M,23,Санкт-Петербургский государственный университет (СПбГУ),MASTER,Физика,1,4.9,265000,530000.0,4,social_media,1,2024-08-29,1,,2024-08-10,1,0.63
Аристарх Изотович Дорофеев,2024-05-11,c5ab99b6-2ff2-4f22-9d0f-3ee718d59380,M,20,Российский государственный университет нефти и газа имени И.М. Губкина,MASTER,Информатика и вычислительная техника,1,4.0,260000,520000.0,4,social_media,0,,0,,2024-06-07,1,0.68
Романова Юлия Васильевна,2024-06-07,4ca153ca-9985-4256-9dc2-6e217385f4b,F,16,Национальный исследовательский ядерный университет «МИФИ»,BACHELOR,Инженерия программного обеспечения,2,4.4,250000,1000000.0,8,website,1,2024-07-30,1,,2024-07-23,1,0.53
Мирослав Зиновьевич Кудрявцев,2024-06-23,d1a9cf4a-5983-471a-be41-af7c89ce1ac2,M,16,Российский государственный университет нефти и газа имени И.М. Губкина,BACHELOR,Физика,2,4.5,275000,1320000.0,8,social_media,0,2024-08-20,1,,2024-06-28,1,0.63
Петухова Акулина Дмитриевна,2024-07-24,fa5fc64a-f383-4264-bb46-e9592332ef37,F,17,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Прикладная математика,2,3.5,400000,1600000.0,8,bank,0,2024-08-17,1,,2024-08-14,1,0.69
Елисеева Олимпиада Васильевна,2024-05-01,7e4d5a62-3295-49c4-a3c9-7ceb50552cb,F,20,Российский государственный университет нефти и газа имени И.М. Губкина,MASTER,Информатика и вычислительная техника,1,4.0,260000,624000.0,4,bank,1,2024-07-18,1,,2024-07-06,1,0.62
Бронислав Анисимович Зайцев,2024-05-22,dcd2e039-f78e-4ee4-9a13-2746a4c0e072,M,18,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Информатика и вычислительная техника,2,4.0,400000,1600000.0,8,bank,0,2024-07-28,1,,2024-05-24,1,0.69
Субботина Полина Аскольдовна,2024-05-18,64f5d23a-30c0-417a-a6a0-2e4205bcbef8,F,17,Новосибирский государственный университет (НГУ),BACHELOR,Прикладная математика,4,3.5,210000,1680000.0,8,website,0,2024-06-19,1,,2024-06-06,1,0.66
Всеволод Анатольевич Богданов,2024-05-26,b4fa6520-9ae6-4f10-aebf-5ae4d05dba75,M,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Электроника и наноэлектроника,3,3.0,340000,2040000.0,8,website,0,2024-08-13,1,,2024-07-31,1,0.65
Надежда Вячеславовна Кудряшова,2024-05-12,e858f948-0eba-4a66-baa9-544774f02b79,F,16,Московский физико-технический институт (МФТИ),SPECIALTY,Электроника и наноэлектроника,2,4.0,190000,760000.0,8,bank,0,,0,,2024-08-14,1,0.65
Комиссаров Игорь Ерофеевич,2024-06-17,2e1dec4d-b067-4cf6-9f9e-5c838c5af16,M,22,Санкт-Петербургский государственный университет (СПбГУ),MASTER,Прикладная математика,2,3.2,350000,1400000.0,4,website,1,2024-08-31,1,,2024-08-17,1,0.69
Валентина Вениаминовна Калинина,2024-05-13,ac84370a-d950-4bf0-9e2b-0f44e98d510,F,20,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),MASTER,Прикладная математика,2,3.7,350000,1050000.0,4,social_media,1,2024-08-12,1,,2024-06-24,1,0.68
Максимова Агата Георгиевна,2024-05-20,a075be50-d2e7-4ace-9096-cf6ddc0e1ed,F,23,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),MASTER,Физика,1,4.0,135000,324000.0,4,social_media,1,2024-08-08,1,,2024-07-09,1,0.63
Некрасов Будимир Ерофеевич,2024-07-11,f3131303-2a5c-4643-8f84-aca4edd3f75e,M,24,Московский государственный университет имени М.В. Ломоносова (МГУ),MASTER,Механика,2,3.2,245000,784000.0,4,bank,0,2024-08-26,1,,2024-08-02,1,0.62
Лазарева Марина Степановна,2024-05-30,755d93f2-550a-40bc-a66e-d7a3d3a21094,F,22,Московский государственный университет имени М.В. Ломоносова (МГУ),MASTER,Инженерия программного обеспечения,2,4.0,360000,1080000.0,4,bank,0,2024-08-11,1,,2024-05-31,1,0.76
Лыткина Агата Святославовна,2024-05-28,fb53eb16-be1c-4627-9a8d-4162cbf32d2,F,17,Российский государственный университет нефти и газа имени И.М. Губкина,BACHELOR,Инженерия программного обеспечения,1,3.0,270000,648000.0,4,social_media,1,2024-09-04,1,,2024-06-15,1,0.64
Авдеев Феликс Вячеславович,2024-06-16,c6d84ada-cf11-4bda-a486-e4f80161ca0a,M,19,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Прикладная математика,3,3.3,400000,2400000.0,8,bank,0,2024-07-25,1,,2024-07-08,1,0.54
Акулина Валентиновна Федорова,2024-05-23,fccad779-597f-4be6-823d-7d5af1d145c2,F,18,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),SPECIALTY,Электроника и наноэлектроника,2,4.0,160000,720000.0,6,bank,0,2024-08-20,1,,2024-07-13,1,0.7
Дорофеева Елизавета Робертовна,2024-05-30,6794a9ed-c31c-456a-810a-92400afb31e,F,17,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Информатика и вычислительная техника,2,3.0,400000,1200000.0,4,social_media,1,,0,,2024-07-19,1,0.53
Лазарь Владиславович Лихачев,2024-07-13,ad4ba762-ed93-4df4-bd1e-5b6ccb89ce7e,M,16,Пермский государственный национальный исследовательский университет (ПГНИУ),BACHELOR,Инженерия программного обеспечения,3,3.9,210000,1260000.0,8,social_media,0,,0,,2024-08-09,1,0.45
Соболев Арефий Борисович,2024-05-26,844adb72-9c37-4626-acd8-e6a0fef3db8d,M,15,Московский физико-технический институт (МФТИ),BACHELOR,Инженерия программного обеспечения,3,3.7,210000,1344000.0,8,bank,0,,0,,2024-08-13,1,0.5
Прохоров Радим Валерианович,2024-06-15,4e4e334c-ee08-414a-b1c1-d7f2dfd0fcdb,M,16,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),SPECIALTY,Инженерия программного обеспечения,2,4.3,360000,1620000.0,6,website,0,2024-09-07,1,,2024-08-20,1,0.49
Евдоким Евсеевич Белозеров,2024-05-06,e26e6679-6339-470a-8479-0b0719bec79,M,20,Новосибирский государственный университет (НГУ),MASTER,Электроника и наноэлектроника,2,4.0,300000,1200000.0,4,bank,1,,0,,2024-06-26,1,0.71
Екатерина Ивановна Григорьева,2024-05-30,d1346c56-4072-426e-8452-a297368cc33,F,17,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),SPECIALTY,Прикладная математика,4,4.0,350000,2520000.0,8,website,1,2024-07-23,1,,2024-06-27,1,0.64
Гуляев Серафим Игнатьевич,2024-06-04,c2866427-edb7-40cb-8711-a5d4f5153a91,M,19,Сибирский федеральный университет (СФУ),BACHELOR,Физика,1,3.4,105000,210000.0,2,bank,0,2024-09-09,1,,2024-08-04,1,0.68
